用户ID,出生日期,性别
2757,2013-03-11,男
415971,2012-11-11,女
1372572,2012-01-30,男
10339332,2011-09-10,女
10642245,2013-02-13,女
10923201,2011-08-30,男
11768880,2012-01-07,男
12519465,2013-07-05,男
12950574,2009-07-08,女
13735440,2012-03-23,女
14510892,2014-08-12,男
14905422,2011-04-29,男
15786531,2008-09-22,女
16265490,2009-12-09,女
17431245,2011-01-15,女
18190851,2011-01-01,女
20087991,2010-08-08,女
20570454,2008-10-17,男
21137271,2011-02-04,男
21415917,2006-08-01,男
21887268,2010-05-26,女
22602471,2009-06-01,男
23208537,2008-04-16,男
23927133,2008-10-29,女
24829944,2014-08-26,男
25807593,2014-11-22,男
26629842,2013-11-24,女
27213666,2008-04-13,女
30595206,2007-09-18,女
31235454,2011-03-19,女
31795068,2007-11-24,女
33062883,2010-08-14,男
34582044,2012-11-01,女
34911780,2010-03-02,男
35831517,2011-07-08,女
37273026,2012-02-12,男
38061660,2011-12-03,男
40305507,2011-10-17,男
41643429,2014-03-22,男
42687654,2009-05-15,男
43241697,2012-05-12,女
44716356,2013-02-11,女
46013049,2014-04-08,男
46951908,2009-12-17,男
47742510,2014-07-27,女
48655521,2011-01-01,女
49167150,2013-08-18,未知
49983255,2014-02-06,未知
50238258,2010-12-06,男
51103674,2011-08-17,女
51880578,2011-01-07,女
52529655,2013-06-11,未知
52744851,2012-08-22,男
53433471,2012-09-03,男
54855720,2013-01-28,女
55875510,2012-08-03,女
56663970,2009-11-16,男
57494340,2014-05-18,女
57711375,2013-04-20,未知
58199199,2011-07-02,女
58463787,2010-09-28,男
59069103,2006-04-13,女
59596068,2013-04-28,男
60387171,2013-02-16,男
61079421,2013-05-01,男
61620681,2013-03-08,女
62879667,2011-12-05,女
64343163,2010-01-23,男
65312343,2009-06-27,男
66248748,2012-09-08,女
66755460,2011-03-07,男
67443207,2008-01-01,女
67985523,2012-07-13,女
69057729,2011-01-05,男
69435486,2012-08-21,男
70069665,2010-04-15,女
70835010,2014-05-22,女
71726532,2011-05-15,女
72231900,2011-02-21,女
72746697,2014-02-22,男
73291425,2010-06-28,女
74459175,2013-03-09,女
75343881,2012-02-25,女
75613245,2011-11-22,男
76580427,2012-03-07,男
77933013,2010-07-02,男
78375309,2013-03-22,男
78962691,2013-02-18,女
80014536,2012-06-15,男
80512596,2013-02-08,女
81793389,2013-09-04,女
82783545,2014-04-16,男
83472357,2013-01-20,男
84835944,2011-10-08,女
86731623,2013-12-26,女
87659835,2011-09-30,男
88290456,2009-01-18,女
91177545,2010-02-03,女
92116962,2012-05-26,男
93332442,2011-11-02,女
94472106,2009-11-05,女
95428725,2012-03-31,女
96476817,2012-08-13,女
97489185,2014-04-29,男
98246781,2012-06-18,男
99665637,2013-09-26,未知
102088293,2013-05-25,男
105361095,2013-01-16,男
106828323,2014-02-01,女
109404219,2007-04-09,女
111621945,2013-08-09,男
113243127,2011-02-26,女
114558810,2008-09-14,女
115930791,2013-05-19,女
116466705,2013-01-01,女
118300134,2011-05-03,女
119784861,2012-03-27,女
123044613,2011-12-10,男
124527924,2011-09-30,男
126581934,2011-05-19,女
127931487,2012-07-03,女
130211481,2008-12-09,女
131021484,2009-10-08,女
132357204,2011-11-25,男
133595268,2011-09-19,男
136997100,2013-01-13,男
138180945,2008-09-28,女
139924698,2012-01-17,男
141595593,2008-12-22,女
143220732,2008-12-16,男
150404943,2005-06-18,女
151742451,2014-01-21,未知
154930665,2011-02-18,女
155969997,2012-05-05,女
159129426,2010-08-25,女
163555902,2009-05-02,男
166937481,2013-06-20,男
172453374,2013-02-06,男
174880005,2007-09-10,女
180473754,2013-05-22,女
186418698,2012-01-18,男
188799366,2011-11-30,男
191156136,2013-04-15,女
196293483,2010-01-17,男
197066280,2008-05-10,女
198339735,2011-01-28,女
199354107,2010-03-10,男
201402855,2008-12-18,女
211057395,2008-03-11,女
219658557,2013-02-20,男
224653845,2011-11-14,男
229407174,2008-12-23,女
235795692,2013-04-25,女
241837911,2012-12-25,女
250900287,2013-07-08,男
255635397,2013-06-07,男
260087412,2013-03-09,女
264579453,2014-05-12,女
267910347,2007-11-21,女
272757969,2011-02-24,女
275261625,2010-05-25,女
276219687,2013-05-29,男
277629531,2013-08-30,未知
279722190,2009-03-18,女
286307391,2011-10-09,女
292966044,2010-09-16,男
300931383,2013-12-19,女
305489040,2013-08-11,男
316263477,2011-07-17,男
322204938,2013-06-26,女
325759617,2010-08-12,男
326454822,2009-04-03,男
332182758,2012-07-14,男
338734269,2013-09-26,男
343603914,2013-02-25,男
348109281,2010-02-08,男
352463907,2011-04-02,女
354804408,2013-03-27,女
357851268,2012-06-21,男
359890617,2014-03-24,女
360647838,2014-01-20,女
363164958,2014-12-29,女
367595379,2010-09-23,男
371646807,2014-09-15,男
373726419,2013-08-28,女
378028878,2012-02-08,女
